Question ID,Domain,Question Text,Question Type
B.2.1,B. Nth Party Management,Does the third-party risk management program require Confidentiality and/or Non-Disclosure Agreements from all outsourced relationships(e.g. fourth/Nth party)?,"Yes,No,N/A"
B.2.2,B. Nth Party Management,Do third-party contracts include all applicable privacy and security control requirements including those with fourth/Nth party?,"Yes,No,N/A"
B.2.3,B. Nth Party Management,Do third-party party contracts include incident and data breach notifications including those with fourth/Nth party?,"Yes,No,N/A"
B.2.4,B. Nth Party Management,Does the third party risk management program include creating and maintaining a third party inventory based on information and/or risk classification?,"Yes,No,N/A"
B.2.5,B. Nth Party Management,"Does the third party risk management program have a governing body accountable for the selection, oversight and risk assessment of vendors or service providers?","Yes,No,N/A"
B.2.6,B. Nth Party Management,Are the activities of third party personnel monitored for potential security incidents?,"Yes,No,N/A"
B.2.7,B. Nth Party Management,"Does the third party risk management program include definition of required contract development, adherence and management policies and processes?","Yes,No,N/A"
B.2.7.1,B. Nth Party Management,Does the third party risk management program include the definition of a third party risk assessment process?,"Yes,No,N/A"
B.2.8,B. Nth Party Management,Does the third party risk management program include definition and a process for ongoing monitoring and review of third party risk?,"Yes,No,N/A"
B.2.9,B. Nth Party Management,"Are third-parties or service providers evaluated for reassessment when there are material changes to risk posture, service offerings or contracts?","Yes,No,N/A"
B.2.10,B. Nth Party Management,Does the third party risk management program include assessments performed on all potential entities before entering into contracts with them?,"Yes,No,N/A"
B.2.11,B. Nth Party Management,Does the third party risk management program include requirements to review a vendor's third party risk program?,"Yes,No,N/A"
B.2.12,B. Nth Party Management,Does the third party risk management program require notification for any new or changed outsourced contract relationships?,"Yes,No,N/A"
B.2.13,B. Nth Party Management,Does the third party risk program require notification by each party of any changes affecting services rendered?,"Yes,No,N/A"
B.2.14,B. Nth Party Management,Does the third party risk management program require background checks for service provider contractors and subcontractors?,"Yes,No,N/A"
B.2.15,B. Nth Party Management,"Does the third party risk management program include an assigned individual or group responsible for capturing, maintaining, and tracking Information Security, Privacy, or other issues?","Yes,No,N/A"
C.1,C. Information Assurance,"Is there a documented, approved cybersecurity risk management policy communicated across the organization?","Yes,No,N/A"
C.1.2,C. Information Assurance,"Has the organization determined and documented the scope of the information security program considering relevant internal and external issues, and business activities?","Yes,No,N/A"
C.1.3,C. Information Assurance,"Does the information security policy have clearly defined and measurable objectives that are monitored, updated and recorded (as necessary), and communicated with all constituents?","Yes,No,N/A"
C.1.4,C. Information Assurance,"Are information security policies, standards, and procedures based on accepted controls, frameworks, and industry practices?","Yes,No,N/A"
C.1.5,C. Information Assurance,Does the organization have a documents and records management program with an assigned owner required by the information security program to ensure it is adequately controlled and protected?,"Yes,No,N/A"
C.1.6,C. Information Assurance,"Does the information security program establish requirements for the protection of information that is accessed, processed, stored, or transmitted on external systems?","Yes,No,N/A"
C.2,C. Information Assurance,"Has senior management designated and communicated a qualified owner (e.g., Chief Information Security Officer (CISO)) of the information security program who ensures enforcement of the policy, and reports on the program's performance to senior management?","Yes,No,N/A"
C.2.1,C. Information Assurance,"Does the Chief Information Security Officer (CISO) or designated owner(s) report annually to the board of directors or other senior officer, on the cybersecurity program and material risks?","Yes,No,N/A"
C.2.2,C. Information Assurance,"Is there a management-approved information security process for handling deviations, exceptions and exemptions to information security policies, standards and procedures?","Yes,No,N/A"
C.2.3,C. Information Assurance,"Does the information security program define and set objectives and principles to address the unauthorized disclosure, misuse, alteration, destruction, or other compromise of client-scoped data?","Yes,No,N/A"
C.3,C. Information Assurance,"Does senior management clearly identify and communicate the roles and responsibilities for information security policies, processes and procedures to assigned personnel before being granted access to the organization's information and assets?","Yes,No,N/A"
C.3.4,C. Information Assurance,Have any of the Information Security and IT processes been outsourced?,"Yes,No,N/A"
C.3.5,C. Information Assurance,Do the information security policies and procedures include requirements for third-party risk management?,"Yes,No,N/A"
C.4,C. Information Assurance,Is there a documented risk assessment process for information security with consistent and comparable results?,"Yes,No,N/A"
C.4.1,C. Information Assurance,Does the information security assessment process include residual risk acceptance responsibilities?,"Yes,No,N/A"
C.4.2,C. Information Assurance,"Does the information security risk assessment process address the risks to architecture, infrastructure, software, operations, concentration, business model, cybersecurity, and IT services strategy?","Yes,No,N/A"
C.4.3,C. Information Assurance,"Does assessing infosec risks involve identifying owners, analyzing risks, considering potential loss, determining consequences and likelihood of reoccurrence, comparing results to criteria, and prioritizing treatment?","Yes,No,N/A"
C.5,C. Information Assurance,"Do all projects involving systems, applications, and platforms go through an information security assessment?","Yes,No,N/A"
C.5.2,C. Information Assurance,"Are information security personnel responsible for the design of information technology systems, processes, and architecture required to meet information security requirements?","Yes,No,N/A"
C.5.3,C. Information Assurance,"Are information security personnel responsible for the review of information security policies and standards on a scheduled basis (e.g., annually)?","Yes,No,N/A"
C.5.4,C. Information Assurance,Do information security personnel review the effectiveness of information security policy implementation and manage instances of non-compliance with security policies across the entire organization?,"Yes,No,N/A"
C.5.6,C. Information Assurance,Does senior management ensure all personnel are provided with a confidential channel for reporting violations of the information security policy?,"Yes,No,N/A"
C.6,C. Information Assurance,"Does the organization's senior management demonstrate leadership and commitment concerning the information security program by ensuring the policy objectives and requirements align with the strategic direction of the entire organization, and are integrated into the organization's processes?","Yes,No,N/A"
C.6.3,C. Information Assurance,Does the organization's board of directors or ownership ensure information security programs are funded sufficiently to meet the organization's objectives?,"Yes,No,N/A"
C.6.6,C. Information Assurance,"Does the organization have a plan to quickly correct nonconformities, implement actions, and make necessary changes to the information security program?","Yes,No,N/A"
C.11,C. Information Assurance,"Is there an approved, documented process for exchanging cybersecurity information with peers, suppliers, or competent authorities on a voluntary basis?","Yes,No,N/A"
C.12,C. Information Assurance,"Is there a documented process that requires cybersecurity information-sharing arrangements to be in place before sharing any information, including sensitive information?","Yes,No,N/A"
D.1,D. Asset and Info Management,"Is there a management-approved asset management program that is communicated to constituents and has an owner to maintain, review, and manage IT assets (e.g. systems, hardware, services, and data), and respective controls, throughout their life cycles?","Yes,No,N/A"
D.1.1,D. Asset and Info Management,"Does the organization implement and manage a Configuration Management Database (CMDB), or asset inventory list, to collect and manage asset-specific information?","Yes,No,N/A"
D.2,D. Asset and Info Management,"Is there an acceptable use policy for information and associated assets that has been approved by management, communicated to appropriate constituents, and assigned an owner to maintain and periodically review the policy?","Yes,No,N/A"
D.2.1,D. Asset and Info Management,Are constituents made aware of and held accountable to the Acceptable Use Policy?,"Yes,No,N/A"
D.2.2,D. Asset and Info Management,"Is there a policy or procedure for information handling consistent with its classification that has been approved by management, communicated to appropriate constituents, and assigned an owner to maintain and periodically review (e.g., authorized parties, encryption, public cloud storage, removable media, classification labeling, etc.)?","Yes,No,N/A"
D.2.3,D. Asset and Info Management,Does the policy or procedure for information handling include access control requirements including restrictions and authorized parties?,"Yes,No,N/A"
D.2.4,D. Asset and Info Management,Does the policy or procedure for information handling include encryption requirements?,"Yes,No,N/A"
D.2.5,D. Asset and Info Management,Does the policy or procedure for information handling include storage requirements including authorized use of Public Cloud storage?,"Yes,No,N/A"
D.2.6,D. Asset and Info Management,"Does the policy or procedure for information handling include electronic transmission security requirements including email, web, and acceptable use by the file transfer services?","Yes,No,N/A"
D.2.7,D. Asset and Info Management,"Does the policy or procedure for information handling include removable media (e.g., USB Drives, DVDs, etc.) requirements?","Yes,No,N/A"
D.2.8,D. Asset and Info Management,Does the policy or procedure for information handling ensure information's classification is properly labeled in its related physical and electronic formats?,"Yes,No,N/A"
D.3,D. Asset and Info Management,"Is there a records retention policy and retention schedule covering paper and electronic records, including email in support of applicable regulations, standards, and contractual requirements?","Yes,No,N/A"
D.3.1,D. Asset and Info Management,"Is there a data retention/destruction requirement that includes information on live media, backup/archived media, and information managed by fourth parties?","Yes,No,N/A"
D.3.2,D. Asset and Info Management,Is scoped data included in a regular data retention review?,"Yes,No,N/A"
D.3.3,D. Asset and Info Management,Is all media containing scoped data disposed of securely?,"Yes,No,N/A"
D.3.4,D. Asset and Info Management,Is scoped data sent or received electronically?,"Yes,No,N/A"
D.3.5,D. Asset and Info Management,"Are policies, procedures, and controls for transferring information enforced, including the reliability and availability of the transfer service?","Yes,No,N/A"
D.3.6,D. Asset and Info Management,Is scoped data sent or received electronically encrypted in transit while outside the network?,"Yes,No,N/A"
D.3.7,D. Asset and Info Management,"Does scoped data sent or received electronically include encryption of e-mail, chat, and other messaging technologies?","Yes,No,N/A"
D.3.8,D. Asset and Info Management,Does scoped data sent or received electronically include protection against malicious code by network virus inspection or virus scan at the endpoint?,"Yes,No,N/A"
D.3.9,D. Asset and Info Management,Does scoped data sent or received electronically include content filtering scans performed on incoming/outgoing email to enforce email policy?,"Yes,No,N/A"
D.3.11,D. Asset and Info Management,Is regulated or confidential scoped data stored in a database?,"Yes,No,N/A"
D.3.11.1,D. Asset and Info Management,Does regulated or confidential scoped data stored in a database include Database Encryption?,"Yes,No,N/A"
D.3.12,D. Asset and Info Management,Is regulated or confidential scoped data stored in files?,"Yes,No,N/A"
D.3.12.1,D. Asset and Info Management,Does regulated or confidential scoped data stored in files include file/folder-level encryption enabled?,"Yes,No,N/A"
D.4,D. Asset and Info Management,"Is Information classified according to legal or regulatory requirements, business value, and sensitivity to unauthorized disclosure or modification?","Yes,No,N/A"
D.5,D. Asset and Info Management,"Does the organization assign asset ownership to a department, team or individual?","Yes,No,N/A"
D.5.1,D. Asset and Info Management,Are owners responsible to approve and periodically review access to Information Assets?,"Yes,No,N/A"
D.6,D. Asset and Info Management,Is scoped data sent or received via physical media?,"Yes,No,N/A"
D.6.1,D. Asset and Info Management,Do transport containers protect against physical damage?,"Yes,No,N/A"
D.6.2,D. Asset and Info Management,"Are all the following used when transporting scoped data: chain of custody logs identifying media contents, protection applied, times of transfer and receipt at destination?","Yes,No,N/A"
D.7,D. Asset and Info Management,Has your company implemented a data loss prevention (DLP) security solution program?,"Yes,No,N/A"
D.7.2,D. Asset and Info Management,Does the DLP security solution program include a handling process if data loss is suspected or has occurred?,"Yes,No,N/A"
D.7.3,D. Asset and Info Management,Does the DLP security solution program include a review of the DLP rules at least annually?,"Yes,No,N/A"
D.7.4,D. Asset and Info Management,Is all organization email scanned by a DLP security solution?,"Yes,No,N/A"
D.7.5,D. Asset and Info Management,Is all organization outbound web traffic scanned by a DLP security solution?,"Yes,No,N/A"
D.7.6,D. Asset and Info Management,Is the DLP system configured to block unauthorized traffic?,"Yes,No,N/A"
D.8,D. Asset and Info Management,Do scans performed on incoming and outgoing email include phishing prevention?,"Yes,No,N/A"
D.9,D. Asset and Info Management,"Are scoped systems or data stored or transferred in cloud-based public file sharing solutions? If yes, please explain in the Additional Information field.","Yes,No,N/A"
D.9.1,D. Asset and Info Management,"Are organization-approved, cloud-based public file sharing solution(s) used (e.g., SharePoint, Box, Google Drive, Dropbox, OneDrive)? If yes, please identify the provider(s) in the Additional Information field.","Yes,No,N/A"
D.10,D. Asset and Info Management,Are encryption keys managed and maintained for scoped data?,"Yes,No,N/A"
D.10.1,D. Asset and Info Management,Are encryption keys generated in a manner consistent with key management industry standards?,"Yes,No,N/A"
D.10.2,D. Asset and Info Management,Are encryption keys encrypted at rest and when transmitted?,"Yes,No,N/A"
D.10.3,D. Asset and Info Management,Is there segregation of duties between personnel responsible for key management duties and those responsible for normal operational duties?,"Yes,No,N/A"
D.10.4,D. Asset and Info Management,Is there an option for clients to manage their own encryption keys?,"Yes,No,N/A"
D.10.5,D. Asset and Info Management,Is Asymmetric encryption key length at a minimum of 2048 bits?,"Yes,No,N/A"
D.11,D. Asset and Info Management,"Is maintenance and repair of organizational assets performed and logged, with tools that have been inspected, approved, and controlled?","Yes,No,N/A"
D.12,D. Asset and Info Management,Can clients specify where their data is stored (logically and physically)?,"Yes,No,N/A"
D.13,D. Asset and Info Management,Is data segmentation and separation capability between clients provided?,"Yes,No,N/A"
D.13.1,D. Asset and Info Management,"Does data segmentation and separation include database segmentation i.e., separate database instances for each client?","Yes,No,N/A"
D.14,D. Asset and Info Management,"In the event of a subpoena or forensics incident, is specific data able to be put on Litigation Hold without impacting other clients' data?","Yes,No,N/A"
D.15,D. Asset and Info Management,Does your organization have a Data Protection Officer?,"Yes,No,N/A"
E.1,E. Human Resources Security,"Are Human Resources policies and procedures approved by management, communicated to constituents and have an owner to maintain and review?","Yes,No,N/A"
E.1.1,E. Human Resources Security,"Are background checks performed pre-employment, and conducted periodically, or at least as frequently as required by industry-specific standards or regulations?","Yes,No,N/A"
E.1.2,E. Human Resources Security,"Do Human Resources policies of the organization include constituent background screening criteria (e.g., collection and verification of information) in contractual agreements with third parties?","Yes,No,N/A"
E.1.3,E. Human Resources Security,Are constituents required to sign employment agreements?,"Yes,No,N/A"
E.1.3.1,E. Human Resources Security,Do employment agreements for constituents include acknowledgement of Acceptable Use policies?,"Yes,No,N/A"
E.1.3.2,E. Human Resources Security,Do employment agreements for constituents include acknowledgement of Code of Conduct/Ethics policies?,"Yes,No,N/A"
E.1.3.3,E. Human Resources Security,Do employment agreements for constituents include acknowledgement of Confidentiality/Non-Disclosure policies?,"Yes,No,N/A"
E.1.4,E. Human Resources Security,"Does senior management require information security personnel to participate in continuing education programs (e.g., online training, webinars, seminars, etc.) to maintain knowledge of changing information security threats and countermeasures?","Yes,No,N/A"
E.1.5,E. Human Resources Security,"Does the organization have an implemented human resources security program, including a training and awareness policy that is distributed physically or virtually, (e.g., newsletters, training sessions, website, etc.) with an owner accountable for its oversight?","Yes,No,N/A"
E.1.6,E. Human Resources Security,"Are constituents and new hires required to attend security awareness training on an annual basis as part of their terms and conditions of employment or contract, and acknowledge understanding and compliance with the information security policy?","Yes,No,N/A"
E.1.7,E. Human Resources Security,Does the Human Resources security policy include a disciplinary process for non-compliance?,"Yes,No,N/A"
E.1.7.1,E. Human Resources Security,Does the disciplinary process include notification to designated personnel when formal disciplinary actions or sanctions have been initiated?,"Yes,No,N/A"
E.1.8,E. Human Resources Security,Does the Human Resources security policy include constituent accountability for the use and misuse of their access credentials?,"Yes,No,N/A"
E.2,E. Human Resources Security,Does the Human Resources security policy include a process to remove physical and logical access to systems containing scoped data within 24 hours for terminated constituents?,"Yes,No,N/A"
E.2.1,E. Human Resources Security,Are exit interviews conducted for terminated constituents that include discussion of concerns regarding security or compliance issues?,"Yes,No,N/A"
E.3,E. Human Resources Security,"Does the organization have an employee performance process that is documented, maintained, and reviewed by management periodically?","Yes,No,N/A"
F.1,F. Phys and Env Security,"Has management approved a physical security program that is communicated to all parties involved, with an assigned owner responsible for maintenance and review?","Yes,No,N/A"
F.1.1,F. Phys and Env Security,Does the physical security program include a clean desk policy?,"Yes,No,N/A"
F.1.2,F. Phys and Env Security,"Are there physical security controls for all secured facilities (e.g., data centers, office buildings, physical facility locations)?","Yes,No,N/A"
F.1.2.2,F. Phys and Env Security,"Do the physical security controls include electronic-controlled access systems (e.g., key card, token, fob, biometric reader, etc.)?","Yes,No,N/A"
F.1.3,F. Phys and Env Security,Does the organization have a policy or procedure for defining security perimeters and the strength of each perimeter in accordance with the information security requirements?,"Yes,No,N/A"
F.1.4,F. Phys and Env Security,"Do the physical security controls include a perimeter physical barrier (e.g., fence or walls)?","Yes,No,N/A"
F.1.5,F. Phys and Env Security,"Do the physical security controls include entry and exit doors alarmed (forced entry, propped open) and/or monitored by security guards?","Yes,No,N/A"
F.1.6,F. Phys and Env Security,Do the physical security controls include a mechanism to prevent tailgating/piggybacking?,"Yes,No,N/A"
F.1.7,F. Phys and Env Security,"Are there physical access authorization controls that include lists of individuals with authorized and restricted access, with logs kept of all access?","Yes,No,N/A"
F.1.8,F. Phys and Env Security,"Do physical access controls include collection of access equipment (e.g., badges, keys, etc.) and pin numbers changes upon termination or status change?","Yes,No,N/A"
F.1.9,F. Phys and Env Security,Do physical access controls include segregation of duties for issuing and approving access?,"Yes,No,N/A"
F.1.10,F. Phys and Env Security,"If visitors are permitted in the facility, are they required to sign in and out and provide a government-issued ID?","Yes,No,N/A"
F.1.11,F. Phys and Env Security,"Are visitors required to wear a badge distinguishing them from employees, and escorted through secure areas (when applicable)?","Yes,No,N/A"
F.1.12,F. Phys and Env Security,Are visitor logs maintained for at least 90 days?,"Yes,No,N/A"
F.2,F. Phys and Env Security,Is there a physical and environmental hazards assessment conducted prior to establishing the location or site of a facility where systems reside?,"Yes,No,N/A"
F.2.1,F. Phys and Env Security,"Has the organization properly identified, monitored, mitigated, and implemented procedures to address physical and environmental threats?","Yes,No,N/A"
F.2.3,F. Phys and Env Security,Is signage required to identify environmental controls within the data center?,"Yes,No,N/A"
F.2.4,F. Phys and Env Security,"Do environmental controls include water damage protection measures (e.g., fluid sensors, isolation valves, master shutoff valves)?","Yes,No,N/A"
F.2.5,F. Phys and Env Security,Do environmental controls include HVAC and humidity controls?,"Yes,No,N/A"
F.2.6,F. Phys and Env Security,Do environmental controls include heat and smoke detectors and fire suppression?,"Yes,No,N/A"
F.3,F. Phys and Env Security,Is there a loading dock at the facility?,"Yes,No,N/A"
F.4,F. Phys and Env Security,Is there a battery/UPS (Uninterruptible Power Supply) room in offices and/or the facility?,"Yes,No,N/A"
F.5,F. Phys and Env Security,Is there a generator or generator area in offices and/or facility?,"Yes,No,N/A"
F.6,F. Phys and Env Security,Is there a media library to store scoped data?,"Yes,No,N/A"
F.7,F. Phys and Env Security,Is there a telecom equipment room?,"Yes,No,N/A"
F.8,F. Phys and Env Security,Are devices located in a locked server cabinet within the data center?,"Yes,No,N/A"
F.8.1,F. Phys and Env Security,Do server cabinets include restricted access and are logs kept of all access?,"Yes,No,N/A"
F.9,F. Phys and Env Security,Do the scoped systems and data reside in a data center?,"Yes,No,N/A"
F.9.1,F. Phys and Env Security,Do other tenants use the data center?,"Yes,No,N/A"
F.9.2,F. Phys and Env Security,Are locking screensavers on unattended system displays or locks on consoles required within the data center?,"Yes,No,N/A"
F.9.3,F. Phys and Env Security,Does the organization have maintenance support contracts for critical equipment?,"Yes,No,N/A"
F.9.4,F. Phys and Env Security,Are tests conducted for any building systems?,"Yes,No,N/A"
F.9.4.1,F. Phys and Env Security,Are UPS systems tested at least annually?,"Yes,No,N/A"
F.9.4.2,F. Phys and Env Security,Are all security alarm systems tested at least annually?,"Yes,No,N/A"
F.9.4.3,F. Phys and Env Security,Are all fire alarms tested at least annually?,"Yes,No,N/A"
F.9.4.4,F. Phys and Env Security,Are all fire suppression systems tested at least annually?,"Yes,No,N/A"
F.9.4.5,F. Phys and Env Security,Are all generators tested monthly?,"Yes,No,N/A"
G.1,G. IT Operations Management,"Are the organization's Information Technology Operations policies and procedures monitored, aligned with the organizational strategy, and communicated to the entire organization?","Yes,No,N/A"
G.1.1,G. IT Operations Management,"Do all IT personnel (e.g., centralized, decentralized, shadow IT) utilize the same set of policies, standards, and procedures?","Yes,No,N/A"
G.1.2,G. IT Operations Management,"Does the organization have a formalized Information Technology (IT) structure that defines IT operations (e.g., architecture, infrastructure, service and support, etc.), governance and management responsibilities?","Yes,No,N/A"
G.1.4,G. IT Operations Management,"Are IT Governance roles and responsibilities for oversight of the use of outsourced technology or services (e.g., applications, cloud hosting, embedded technology, microservices, etc.) clearly identified and documented?","Yes,No,N/A"
G.1.5,G. IT Operations Management,"Are there standard templates utilized by the organization that cover hardware, software, services, and network configurations that are regularly reviewed and updated as necessary?","Yes,No,N/A"
G.2,G. IT Operations Management,"Is there an operational Change Management/Change Control policy or program that has been documented, approved by management, communicated to appropriate constituents, and assigned an owner to maintain and review the policy?","Yes,No,N/A"
G.2.1,G. IT Operations Management,"Does the operational Change Management/Change Control Policy or program include a review for potential operational or security impact (e.g., internal impact, client impact, etc.)?","Yes,No,N/A"
G.2.2,G. IT Operations Management,"Does the operational Change Management/Change Control policy or program include categorizing/logging, documenting the changes by severity level (e.g., routine, major, emergency) and securely storing all records?","Yes,No,N/A"
G.2.3,G. IT Operations Management,Does the operational Change Management/Change Control policy or program include a procedure for addressing emergency changes including appropriate approvals after deployment and communication of changes to all relevant constituents?,"Yes,No,N/A"
G.2.4,G. IT Operations Management,"Does the operational Change Management/Change Control policy or program include changes to the production environment including network, systems, application updates, code and configuration changes subject to the change control process?","Yes,No,N/A"
G.3,G. IT Operations Management,"Are information security requirements specified and implemented when new systems are introduced, upgraded, or enhanced?","Yes,No,N/A"
G.3.1,G. IT Operations Management,"Are new, upgraded, or enhanced systems required to include a determination of security requirements based on the sensitivity of the data?","Yes,No,N/A"
G.3.2,G. IT Operations Management,"Are information security specifications for new, upgraded, or enhanced systems identified using requirements from policies and regulations, threat modeling, incident reviews, or use of vulnerability thresholds?","Yes,No,N/A"
G.3.3,G. IT Operations Management,"Are business continuity requirements considered for new, upgraded, or enhanced systems?","Yes,No,N/A"
G.3.4,G. IT Operations Management,"Does the organization maintain a maintenance policy and procedure for new, upgraded, or enhanced systems?","Yes,No,N/A"
G.3.5,G. IT Operations Management,"Is testing for validation of all implemented controls required for new, upgraded, or enhanced systems?","Yes,No,N/A"
G.4,G. IT Operations Management,"Does the organization have a problem management lifecycle process and ticketing system for tracking, reviewing, and solving issues in a timely manner?","Yes,No,N/A"
H.1,H. Access Control,"Has management approved an access control policy, communicated it to constituents, appointed an owner to maintain it, and reviewed it?","Yes,No,N/A"
H.1.1,H. Access Control,"Are access control procedures reviewed periodically to keep up with changes in business environment, people, processes, and technology?","Yes,No,N/A"
H.1.2,H. Access Control,Are constituents able to access scoped data?,"Yes,No,N/A"
H.1.2.1,H. Access Control,"Is there a process for identifying, maintaining, and reviewing access, such as periodic reviews and role changes?","Yes,No,N/A"
H.1.2.2,H. Access Control,Does the organization maintain and periodically review records of user access rights for information and asset access under the security program?,"Yes,No,N/A"
H.1.3,H. Access Control,"Are unique IDs required for authentication to applications, operating systems, databases, and network devices?","Yes,No,N/A"
H.1.3.1,H. Access Control,"Are user IDs that identify roles or access levels, or contain personal information other than name or email address (i.e., SSN, Access Level, Admin Role) prohibited?","Yes,No,N/A"
H.1.4,H. Access Control,"Is access to applications, operating systems, databases, and network devices provisioned according to the principle of least privilege?","Yes,No,N/A"
H.1.5,H. Access Control,"Is there a process to request and receive approval for access to systems prior to transmitting, processing, or storing scoped data?","Yes,No,N/A"
H.1.5.1,H. Access Control,Is there segregation of duties for granting access and approving access to scoped systems and data?,"Yes,No,N/A"
H.1.6,H. Access Control,"Are requests for granting access documented, retained and retrievable for audit purposes for a minimum of one year?","Yes,No,N/A"
H.1.7,H. Access Control,"Are privileged user access rights restricted to key roles (i.e., constituents with specialized levels of technical access), monitored and reviewed at least quarterly, and documented in the access control policy?","Yes,No,N/A"
H.1.8,H. Access Control,"Does the organization have a policy, procedure, or mechanism to ensure that third-parties identities have the required trust level?","Yes,No,N/A"
H.1.9,H. Access Control,Are user access rights reviewed at least annually?,"Yes,No,N/A"
H.1.10,H. Access Control,Does the organization's process for assigning or revoking physical or logical access include modifying the access rights of users who have changed roles or jobs?,"Yes,No,N/A"
H.1.11,H. Access Control,Does the service provider conduct user and privileged access reviews for remote access by its vendors with access to scoped systems and data?,"Yes,No,N/A"
H.1.12,H. Access Control,Are inactive constituent user IDs disabled and deleted after defined periods of inactivity?,"Yes,No,N/A"
H.1.13,H. Access Control,Are clients allowed to manage access to their own systems and data?,"Yes,No,N/A"
H.1.14,H. Access Control,"Is a standards-based federated ID capability available to clients e.g., SAML, OpenID, Single Sign On?","Yes,No,N/A"
H.1.15,H. Access Control,Are clients able to receive a list of personnel that will have access to their scoped system and data?,"Yes,No,N/A"
H.1.16,H. Access Control,"Is access to systems that store or process scoped data limited by time of day, physical location, or network subnet?","Yes,No,N/A"
H.1.17,H. Access Control,Does the organization have a policy restricting the reuse of user IDs for systems storing or processing scoped data?,"Yes,No,N/A"
H.1.18,H. Access Control,"Is there an administrative process to address lost, compromised, or damaged authenticators?","Yes,No,N/A"
H.1.19,H. Access Control,Is there a process in the access control system that allows for the revocation of authenticators when necessary?,"Yes,No,N/A"
H.1.21,H. Access Control,Have measures been taken to ensure that client-specific data is not accessible without proper authorization through policy controls?,"Yes,No,N/A"
H.2,H. Access Control,"Has management approved, communicated, and enforced a password policy for systems that transmit, process, or store scoped data on all platforms and network devices?","Yes,No,N/A"
H.2.1,H. Access Control,Does the password policy require keeping passwords confidential?,"Yes,No,N/A"
H.2.2,H. Access Control,"Does the password policy apply to all servers, network devices, web/file transfer services, and workstations?","Yes,No,N/A"
H.2.3,H. Access Control,"Does the password policy mandate periodic password changes, prohibit password sharing, and require encryption of passwords in transit and at rest?","Yes,No,N/A"
H.2.4,H. Access Control,Does the password policy require passwords to be encrypted or hashed in storage?,"Yes,No,N/A"
H.2.5,H. Access Control,Does the password policy require passwords be masked when entered and displayed by default?,"Yes,No,N/A"
H.2.6,H. Access Control,Does the password policy require system configuration to lock an account when five or more invalid login attempts are made?,"Yes,No,N/A"
H.2.7,H. Access Control,Does the password policy require password expiration within 90 days or less?,"Yes,No,N/A"
H.2.8,H. Access Control,Does the password policy define specific length and complexity requirements for passwords?,"Yes,No,N/A"
H.2.9,H. Access Control,Does the password policy define requirements for provisioning and resetting passwords?,"Yes,No,N/A"
H.2.10,H. Access Control,Is password reset authority restricted to authorized persons and/or an automated password reset tool?,"Yes,No,N/A"
