Question ID,Domain,Question Text,Question Type
DCS-07.1,Datacenter Security,Are all relevant physical and logical assets at all CSP sites cataloged andtracked within a secured system?,"Yes,No,NA"
DCS-07.2,Datacenter Security,Is the catalogue reviewed and updated at least annually or upon significant changes?,"Yes,No,NA"
DCS-08.1,Datacenter Security,"Are physical security perimeters designed and implemented to safeguard personnel, data,and information systems?","Yes,No,NA"
DCS-09.1,Datacenter Security,Is equipment identification used as a method for connection authentication?,"Yes,No,NA"
DCS-10.1,Datacenter Security,"Are solely authorized personnel able to access secure areas, with all ingressand egress areas restricted, documented, and monitored by physical access controlmechanisms?","Yes,No,NA"
DCS-10.2,Datacenter Security,"Are access control records retained periodically, as deemed appropriate bythe organization?","Yes,No,NA"
DCS-11.1,Datacenter Security,"Are external perimeter datacenter surveillance systems and surveillance systemsat all ingress and egress points implemented, maintained, and operated?","Yes,No,NA"
DCS-12.1,Datacenter Security,"Are datacenter personnel trained to safely manage adverse events, including but not limited to unauthorized ingress and egress attempts?","Yes,No,NA"
DCS-13.1,Datacenter Security,"Are processes, procedures, and technical measures defined, implemented, andevaluated to ensure risk-based protection of power and telecommunication cablesfrom interception, interference, or damage threats at all facilities, offices,and rooms?","Yes,No,NA"
DCS-14.1,Datacenter Security,"Are data center environmental control systems designed to monitor, maintain,and test that on-site temperature and humidity conditions fall within acceptedindustry standards effectively implemented and maintained?","Yes,No,NA"
DCS-15.1,Datacenter Security,"Are utility services secured, monitored, maintained, and tested at plannedintervals for continual effectiveness?","Yes,No,NA"
DCS-16.1,Datacenter Security,Is business-critical equipment segregated from locations subject to a highprobability of environmental risk events?,"Yes,No,NA"
DCS-17.1,Datacenter Security,"Are datacenter security metrics established, monitored, and reported to secure data center assets and services?","Yes,No,NA"
DCS-18.1,Datacenter Security,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure continuous operations?","Yes,No,NA"
DSP-01.1,Data Security and Privacy Lifecycle Management,"Are policies and procedures established, documented, approved, communicated,enforced, evaluated, and maintained for the preparation, classification, protection, and handlingof data throughout its lifecycle according to all applicable laws and regulations,standards, and risk level?","Yes,No,NA"
DSP-01.2,Data Security and Privacy Lifecycle Management,"Are data security and privacy policies and procedures reviewed and updatedat least annually, or upon significant changes?","Yes,No,NA"
DSP-02.1,Data Security and Privacy Lifecycle Management,Are industry-accepted methods applied for secure data disposal from storagemedia so information is not recoverable by any forensic means?,"Yes,No,NA"
DSP-03.1,Data Security and Privacy Lifecycle Management,"Is a data inventory created and maintained for sensitive, regulated and personal information(at a minimum)?","Yes,No,NA"
DSP-03.2,Data Security and Privacy Lifecycle Management,Is the inventory reviewed and updated at least annually or upon significant changes?,"Yes,No,NA"
DSP-04.1,Data Security and Privacy Lifecycle Management,Is data classified according to type and sensitivity levels?,"Yes,No,NA"
DSP-05.1,Data Security and Privacy Lifecycle Management,Is data flow documentation created to identify what data is processed andwhere it is stored and transmitted?,"Yes,No,NA"
DSP-05.2,Data Security and Privacy Lifecycle Management,"Is data flow documentation reviewed at defined intervals, at least annually,or upon significant changes?","Yes,No,NA"
DSP-06.1,Data Security and Privacy Lifecycle Management,Is the ownership and stewardship of all relevant personal and sensitive datadocumented?,"Yes,No,NA"
DSP-06.2,Data Security and Privacy Lifecycle Management,Is data ownership and stewardship documentation reviewed at least annually?,"Yes,No,NA"
DSP-07.1,Data Security and Privacy Lifecycle Management,"Are systems, products, and business practices based on security principlesby design and per industry best practices?","Yes,No,NA"
DSP-08.1,Data Security and Privacy Lifecycle Management,"Are systems, products, and business practices based on privacy principlesby design and according to industry best practices?","Yes,No,NA"
DSP-08.2,Data Security and Privacy Lifecycle Management,Are systems' privacy settings configured by default and according to all applicablelaws and regulations?,"Yes,No,NA"
DSP-09.1,Data Security and Privacy Lifecycle Management,"Is a data protection impact assessment (DPIA) conducted when processing personaldata and evaluating the origin, nature, particularity, and severity of risks accordingto any applicable laws, regulations and industry best practices?","Yes,No,NA"
DSP-10.1,Data Security and Privacy Lifecycle Management,"Are processes, procedures, and technical measures defined, implemented, andevaluated to ensure any transfer of personal or sensitive data is protected fromunauthorized access and only processed within scope (as permitted by respectivelaws and regulations)?","Yes,No,NA"
DSP-11.1,Data Security and Privacy Lifecycle Management,"Are processes, procedures, and technical measures defined, implemented, andevaluated to enable data subjects to request access to, modify, or delete personaldata (per applicable laws and regulations)?","Yes,No,NA"
DSP-12.1,Data Security and Privacy Lifecycle Management,"Are processes, procedures, and technical measures defined, implemented, andevaluated to ensure personal data is processed (per applicable laws and regulationsand for the purposes declared to the data subject)?","Yes,No,NA"
DSP-13.1,Data Security and Privacy Lifecycle Management,"Are processes, procedures, and technical measures defined, implemented, andevaluated for the transfer and sub-processing of personal data within the servicesupply chain (according to any applicable laws and regulations)?","Yes,No,NA"
DSP-14.1,Data Security and Privacy Lifecycle Management,"Are processes, procedures, and technical measures defined, implemented, andevaluated to disclose details to the data owner of any personal or sensitive dataaccess by sub-processors before processing initiation?","Yes,No,NA"
DSP-15.1,Data Security and Privacy Lifecycle Management,"Is authorization from data owners obtained, and the associated risk managed,before replicating or using production data in non-production environments?","Yes,No,NA"
DSP-16.1,Data Security and Privacy Lifecycle Management,"Do data retention, archiving, and deletion practices follow business requirements,applicable laws, and regulations?","Yes,No,NA"
DSP-17.1,Data Security and Privacy Lifecycle Management,"Are processes, procedures, and technical measures defined and implementedto protect sensitive data throughout its lifecycle?","Yes,No,NA"
DSP-18.1,Data Security and Privacy Lifecycle Management,"Does the service provider ensure that a procedure is in place and communicated to service customers for managing and responding to requests by law enforcement authorities for the disclosure of personal data, in accordance with applicable laws and regulations?","Yes,No,NA"
DSP-19.1,Data Security and Privacy Lifecycle Management,"Are processes, procedures, and technical measures defined and implementedto specify and document physical data locations, including locales where datais processed or backed up?","Yes,No,NA"
GRC-01.1,"Governance, Risk and Compliance","Are information governance program policies and procedures sponsored by organizationalleadership established, documented, approved, communicated, applied, evaluated,and maintained?","Yes,No,NA"
GRC-01.2,"Governance, Risk and Compliance","Are the policies and procedures reviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
GRC-02.1,"Governance, Risk and Compliance","Is there an established and maintained formal, documented, and leadership-sponsored enterpriserisk management (ERM) program that includes policies and procedures for identification,evaluation, ownership, treatment, and acceptance of risks?","Yes,No,NA"
GRC-03.1,"Governance, Risk and Compliance","Are all relevant organizational policies and associated procedures reviewedat least annually, or when a substantial organizational change occurs?","Yes,No,NA"
GRC-04.1,"Governance, Risk and Compliance",Is an approved exception process mandated by the governance program establishedand followed whenever a deviation from an established policy occurs?,"Yes,No,NA"
GRC-05.1,"Governance, Risk and Compliance",Has an information security program (including programs of all relevant CCMdomains) been developed and implemented?,"Yes,No,NA"
GRC-06.1,"Governance, Risk and Compliance","Are roles and responsibilities for planning, implementing, operating, assessing,and improving governance programs defined and documented?","Yes,No,NA"
GRC-07.1,"Governance, Risk and Compliance","Are all relevant standards, regulations, legal/contractual, and statutoryrequirements applicable to your organization identified and documented?","Yes,No,NA"
GRC-07.2,"Governance, Risk and Compliance",Are the identified requirements reviewed at least annually or upon significant changes?,"Yes,No,NA"
GRC-08.1,"Governance, Risk and Compliance",Is contact established and maintained with related special interestgroups and other relevant entities?,"Yes,No,NA"
HRS-01.1,Human Resources,"Are background verification policies and procedures of all new employees (includingbut not limited to remote employees, contractors, and third parties) established,documented, approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
HRS-01.2,Human Resources,"Are background verification policies and procedures designed according tolocal laws, regulations, ethics, and contractual constraints and proportionalto the data classification to be accessed, business requirements, and acceptablerisk?","Yes,No,NA"
HRS-01.3,Human Resources,"Are background verification policies and procedures reviewed and updated atleast annually, or upon significant changes?","Yes,No,NA"
HRS-02.1,Human Resources,"Are policies and procedures for defining allowances and conditions for theacceptable use of organizationally-owned or managed assets established, documented,approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
HRS-02.2,Human Resources,"Are the policies and procedures for defining allowances and conditions forthe acceptable use of organizationally-owned or managed assets reviewed and updatedat least annually, or upon significant changes?","Yes,No,NA"
HRS-03.1,Human Resources,"Are policies and procedures requiring unattended workspaces to conceal confidentialdata established, documented, approved, communicated, applied, evaluated, andmaintained?","Yes,No,NA"
HRS-03.2,Human Resources,"Are policies and procedures requiring unattended workspaces to conceal confidentialdata reviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
HRS-04.1,Human Resources,"Are policies and procedures to protect information accessed, processed, orstored at remote sites and locations established, documented, approved, communicated,applied, evaluated, and maintained?","Yes,No,NA"
HRS-04.2,Human Resources,"Are policies and procedures to protect information accessed, processed, orstored at remote sites and locations reviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
HRS-05.1,Human Resources,Are return procedures of organizationally-owned assets by terminated employeesestablished and documented?,"Yes,No,NA"
HRS-06.1,Human Resources,"Are procedures outlining the roles and responsibilities concerning changesin employment established, documented, and communicated to all relevant personnel?","Yes,No,NA"
HRS-07.1,Human Resources,"Are employees required to sign an employment agreement before gaining accessto organizational information systems, resources, and assets?","Yes,No,NA"
HRS-08.1,Human Resources,Are provisions and/or terms for adherence to established information governanceand security policies included within employment agreements?,"Yes,No,NA"
HRS-09.1,Human Resources,"Are employee roles and responsibilities relating to information assets' security and privacy, established, documented and communicated?","Yes,No,NA"
HRS-10.1,Human Resources,"Are requirements for non-disclosure/confidentiality agreements reflectingorganizational data protection needs and operational details identified, documented,and reviewed at planned intervals?","Yes,No,NA"
HRS-11.1,Human Resources,"Is a security awareness training program for all employees of the organizationestablished, documented, approved, communicated, applied, evaluated and maintained?","Yes,No,NA"
HRS-11.2,Human Resources,Are regular security awareness training updates provided?,"Yes,No,NA"
HRS-12.1,Human Resources,Are employees granted access to sensitive organizational and personaldata provided with appropriate security awareness training?,"Yes,No,NA"
HRS-12.2,Human Resources,"Are employees granted access to sensitive organizational and personaldata provided with regular updates in procedures, processes, and policies relatingto their professional function?","Yes,No,NA"
HRS-13.1,Human Resources,"Are employees notified of their roles and responsibilities to maintain awarenessand compliance with established policies, procedures, and applicable legal, statutory,or regulatory compliance obligations?","Yes,No,NA"
IAM-01.1,Identity & Access Management,"Are identity and access management policies and procedures established, documented,approved, communicated, implemented, applied, evaluated, and maintained?","Yes,No,NA"
IAM-01.2,Identity & Access Management,"Are identity and access management policies and procedures reviewed and updatedat least annually, or upon significant changes?","Yes,No,NA"
IAM-02.1,Identity & Access Management,"Are policies and procedures for the management of authentication credentials, including passwords, established, documented,  approved, communicated, implemented, applied, evaluated, and maintained?","Yes,No,NA"
IAM-02.2,Identity & Access Management,"Are policies and procedures reviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
IAM-03.1,Identity & Access Management,"Is the inventory of identities managed, stored, and regularly reviewed, and is their level of access monitored?","Yes,No,NA"
IAM-04.1,Identity & Access Management,Is the separation of duties principle employed when implementing informationsystem access?,"Yes,No,NA"
IAM-05.1,Identity & Access Management,Is the least privilege principle employed when implementing information systemaccess?,"Yes,No,NA"
IAM-06.1,Identity & Access Management,"Is an identity access provisioning process defined and implemented which authorizes, records, and communicates data and assets access changes?","Yes,No,NA"
IAM-07.1,Identity & Access Management,Is a process in place to de-provision or modify identity access in a timely manner?,"Yes,No,NA"
IAM-08.1,Identity & Access Management,"Are reviews and revalidation of identity access for least privilege and separation of duties completed with a frequency commensurate with organizational risk tolerance, and at least annually or upon significant changes?","Yes,No,NA"
IAM-09.1,Identity & Access Management,"Are processes, procedures, and technical measures for the segregation of privilegedaccess roles defined, implemented, and evaluated?","Yes,No,NA"
IAM-10.1,Identity & Access Management,Is an access process defined and implemented to ensure privileged access rolesand rights are granted for a limited period?,"Yes,No,NA"
IAM-10.2,Identity & Access Management,Are procedures implemented to prevent the accumulation of segregated privileged access?,"Yes,No,NA"
IAM-11.1,Identity & Access Management,"Are processes and procedures for service customers to participate, where applicable, in granting access for agreed, high risk as (defined by the organizational risk assessment) privileged access roles defined, implemented and evaluated?","Yes,No,NA"
IAM-12.1,Identity & Access Management,"Are processes, procedures, and technical measures that ensure identities' activities are identifiable through uniquely associated IDs defined, implemented, and evaluated?","Yes,No,NA"
IAM-13.1,Identity & Access Management,"Are processes, procedures, and technical measures for authenticating accessto systems, application, and data assets including multifactor authenticationfor a least-privileged user and sensitive data access defined, implemented, andevaluated?","Yes,No,NA"
IAM-13.2,Identity & Access Management,Are digital certificates or alternatives that achieve an equivalent securitylevel for system identities adopted?,"Yes,No,NA"
IAM-14.1,Identity & Access Management,"Are processes, procedures, and technical measures for the secure management of authentication credentials, including passwords, defined, implemented, and evaluated?","Yes,No,NA"
IAM-15.1,Identity & Access Management,"Are processes, procedures, and technical measures to verify access to dataand system functions authorized, defined, implemented, and evaluated?","Yes,No,NA"
IPY-01.1,Interoperability & Portability,"Are policies and procedures established, documented, approved, communicated,applied, evaluated, and maintained for communications between application interfaces(e.g., APIs)?","Yes,No,NA"
IPY-01.2,Interoperability & Portability,"Are policies and procedures established, documented, approved, communicated,applied, evaluated, and maintained for information processing interoperability?","Yes,No,NA"
IPY-01.3,Interoperability & Portability,"Are policies and procedures established, documented, approved, communicated,applied, evaluated, and maintained for application development portability?","Yes,No,NA"
IPY-01.4,Interoperability & Portability,"Are policies and procedures established, documented, approved, communicated,applied, evaluated, and maintained for information/data exchange, usage, portability,integrity, and persistence?","Yes,No,NA"
IPY-01.5,Interoperability & Portability,"Are interoperability and portability policies and procedures reviewed andupdated at least annually, or upon significant changes?","Yes,No,NA"
IPY-02.1,Interoperability & Portability,Are service customers able to programmatically retrieve their data via an application interface(s)to enable interoperability and portability?,"Yes,No,NA"
IPY-03.1,Interoperability & Portability,"Are cryptographically secure network protocols implemented for the management, import, and export of data in accordance with industry standards?","Yes,No,NA"
IPY-04.1,Interoperability & Portability,"Do agreements include provisions specifying service customers' data access upon contract termination, and have the following?a. Data formatb. Duration data will be storedc. Scope of the data retained and made available to the service customersd. Data deletion policy","Yes,No,NA"
I&S-01.1,Infrastructure Security,"Are infrastructure and virtualization security policies and procedures established,documented, approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
I&S-01.2,Infrastructure Security,"Are infrastructure and virtualization security policies and procedures reviewedand updated at least annually, or upon significant changes?","Yes,No,NA"
I&S-02.1,Infrastructure Security,"Is resource availability, quality, and capacity planned and monitored in away that delivers required system performance, as determined by the business?","Yes,No,NA"
I&S-03.1,Infrastructure Security,"Are communications between environments, services, and applications monitored?","Yes,No,NA"
